submission_id,QUD,RT,age,comments,education,endTime,experiment_id,gender,languages,min_chars,optionLeft,optionRight,picture,position,question,response,response_checked,startDate,startTime,timeSpent,top,trial_name,trial_number
705,,6275,21,,Graduated High School,1563127262092,73,female,German,0,NA,NA,Ishihara/29.jpg,NA,Can you see a number ?,29,NA,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,ishihara,1
705,,21893,21,,Graduated High School,1563127262092,73,female,German,0,NA,NA,Ishihara/6.jpg,absolute,Can you see a number ?,9,NA,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,20,ishihara,2
705,,4306,21,,Graduated High School,1563127262092,73,female,German,0,NA,NA,Ishihara/8.jpg,NA,Can you see a number ?,8,NA,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,ishihara,3
705,,4049,21,,Graduated High School,1563127262092,73,female,German,0,NA,NA,Ishihara/18.jpg,NA,Can you see a number ?,18,NA,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,ishihara,4
705,,4818,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/106.jpg,NA,<br /><br /><br /><br />Rate this picture,7,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,1
705,,2193,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/009.jpg,NA,<br /><br /><br /><br />Rate this picture,5,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,2
705,,3387,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/002.jpg,NA,<br /><br /><br /><br />Rate this picture,5,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,3
705,,3228,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/086.jpg,NA,<br /><br /><br /><br />Rate this picture,6,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,4
705,,3130,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/078.jpg,NA,<br /><br /><br /><br />Rate this picture,4,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,5
705,,3662,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/047.jpg,NA,<br /><br /><br /><br />Rate this picture,6,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,6
705,,1599,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/045.jpg,NA,<br /><br /><br /><br />Rate this picture,7,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,7
705,,4770,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/006.jpg,NA,<br /><br /><br /><br />Rate this picture,6,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,8
705,,2844,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/083.jpg,NA,<br /><br /><br /><br />Rate this picture,5,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,9
705,,3992,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/015.jpg,NA,<br /><br /><br /><br />Rate this picture,3,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,10
705,,1682,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/103.jpg,NA,<br /><br /><br /><br />Rate this picture,7,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,11
705,,1962,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/072.jpg,NA,<br /><br /><br /><br />Rate this picture,7,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,12
705,,1846,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/036.jpg,NA,<br /><br /><br /><br />Rate this picture,5,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,13
705,,6063,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/014.jpg,NA,<br /><br /><br /><br />Rate this picture,4,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,14
705,,2334,21,,Graduated High School,1563127262092,73,female,German,NA,not at all,very,realartsyimages/102.jpg,NA,<br /><br /><br /><br />Rate this picture,6,false,Sun Jul 14 2019 19:54:32 GMT+0200 (CEST),1563126872684,6.4901333333333335,NA,firstblock,15
